page,product_index,title,price,description,reviews,rating,stock_status,promotions,visual_quality,page_layout
15,4,Acer Predator He,1221.58,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB.",3,5,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
15,5,ThinkPad Yoga,1223.99,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",10,4,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
15,6,Asus VivoBook Pr,1235.49,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150",1,4,Inconnu,non,mauvaise,"Catalogue de produits affiché en grille 2x3, avec une barre de navigation à gauche. Toutes les images produits sont des placeholders (icônes de panier)."
16,1,Dell Latitude 54,1238.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",9,5,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
16,2,Asus ZenBook UX5,1239.2,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows",1,5,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
16,3,ThinkPad X230,1244.99,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",10,4,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
16,4,Asus ROG Strix G,1259,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows",1,4,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
16,5,Apple MacBook Ai,1260.13,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",5,4,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
16,6,Dell Latitude 54,1271.06,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",9,4,Inconnu,non,mauvaise,"Mise en page de catalogue en grille 3x2 pour les produits, avec une barre de navigation verticale (sidebar) à gauche et un en-tête de site (Web Scraper)."
17,1,Hewlett Packard,1273.11,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",11,5,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
17,2,Dell XPS 13,1281.99,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",9,5,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
17,3,Toshiba Portege,1294.74,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",7,4,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
17,4,MSI GL62VR 7RFX,1299,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",3,4,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
17,5,Dell Latitude 54,1310.39,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",9,4,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
17,6,ThinkPad X240,1311.99,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",10,4,Inconnu,non,mauvaise,"Page de catalogue standard avec navigation latérale gauche (catégories) et grille de produits principale à 3 colonnes. Chaque produit affiche une image générique de panier, le titre, le prix, une description courte, des avis et une notation."
18,1,Hewlett Packard,1326.83,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",11,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
18,2,Apple MacBook Pr,1333,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",5,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
18,3,Dell Latitude 55,1337.28,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",9,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
18,4,Dell Latitude 54,1338.37,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",9,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
18,5,Dell Latitude 55,1341.22,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",9,5,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
18,6,Apple MacBook Ai,1347.78,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",5,4,Inconnu,non,mauvaise,Grille de produits en 3 colonnes. Un menu de navigation vertical (catégories) est présent sur la gauche.
19,1,Lenovo ThinkPad,1349.23,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",12,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
19,2,Lenovo ThinkPad,1362.24,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",12,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
19,3,Toshiba Portege,1366.32,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",7,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
19,4,Asus ASUSPRO B94,1381.13,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",1,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
19,5,Lenovo Legion Y7,1399,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB",12,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
19,6,Asus ROG Strix G,1399,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10",1,4,Inconnu,non,mauvaise,Catalogue en grille de 3 colonnes. La page inclut une barre latérale de navigation à gauche. Les images produits sont des placeholders (caddies).
20,1,Asus ROG Strix G,1769,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10",1,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale gauche et un affichage des produits en grille (3 colonnes visibles). Pagination présente.
20,2,Asus ROG Strix G,1769,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB,",1,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale gauche et un affichage des produits en grille (3 colonnes visibles). Pagination présente.
20,3,Asus ROG Strix S,1799,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce",1,5,Inconnu,non,mauvaise,Layout de catalogue standard avec une barre de navigation latérale gauche et un affichage des produits en grille (3 colonnes visibles). Pagination présente.
